id: DOID:1270	xref: OMIM:187300
id: DOID:12704	xref: OMIM:208900
id: DOID:12705	xref: OMIM:229300
id: DOID:12707	xref: OMIM:213400
id: DOID:12712	xref: OMIM:256100
id: DOID:12714	xref: OMIM:225500
id: DOID:12716	xref: OMIM:267450
id: DOID:12721	xref: OMIM:132400
id: DOID:12731	xref: OMIM:606177
id: DOID:12731	xref: OMIM:606177
id: DOID:12783	xref: OMIM:607501
id: DOID:12798	xref: OMIM:252700
id: DOID:12799	xref: OMIM:309900
id: DOID:12800	xref: OMIM:253200
id: DOID:12801	xref: OMIM:252900
id: DOID:12802	xref: OMIM:607014
id: DOID:12803	xref: OMIM:253220
id: DOID:12804	xref: OMIM:253000
id: DOID:12842	xref: OMIM:139393
id: DOID:12849	xref: OMIM:209850
id: DOID:12858	xref: OMIM:143100
id: DOID:12858	xref: OMIM:143100
id: DOID:12859	xref: OMIM:118700
id: DOID:12894	xref: OMIM:270150
id: DOID:12918	xref: OMIM:211480
id: DOID:12929	xref: OMIM:226000
id: DOID:12930	xref: OMIM:115200
id: DOID:12934	xref: OMIM:530000
id: DOID:12960	xref: OMIM:101200
id: DOID:12961	xref: OMIM:173800
id: DOID:12971	xref: OMIM:182900
id: DOID:13042	xref: OMIM:265380
id: DOID:13096	xref: OMIM:182410
id: DOID:13099	xref: OMIM:252350
id: DOID:1312	xref: OMIM:603278
id: DOID:13137	xref: OMIM:253300
id: DOID:13166	xref: OMIM:103920
id: DOID:13223	xref: OMIM:150699
id: DOID:1324	xref: OMIM:211980
id: DOID:13241	xref: OMIM:109650
id: DOID:13269	xref: OMIM:121300
id: DOID:13270	xref: OMIM:177000
id: DOID:13271	xref: OMIM:263700
id: DOID:13300	xref: OMIM:181440
id: DOID:13317	xref: OMIM:256450
id: DOID:13357	xref: OMIM:168900
id: DOID:13359	xref: OMIM:130070
id: DOID:13359	xref: OMIM:130070
id: DOID:13366	xref: OMIM:184850
id: DOID:13372	xref: OMIM:613490
id: DOID:13374	xref: OMIM:135100
id: DOID:13375	xref: OMIM:187360
id: DOID:13378	xref: OMIM:611775
id: DOID:1338	xref: OMIM:105600
id: DOID:13381	xref: OMIM:170900
id: DOID:13382	xref: OMIM:261100
id: DOID:1339	xref: OMIM:105650
id: DOID:13401	xref: OMIM:607140
id: DOID:13481	xref: OMIM:187600
id: DOID:13482	xref: OMIM:176920
id: DOID:13501	xref: OMIM:157900
id: DOID:13515	xref: OMIM:191100
id: DOID:13533	xref: OMIM:166600
id: DOID:13543	xref: OMIM:145000
id: DOID:13636	xref: OMIM:227645
id: DOID:13641	xref: OMIM:177650
id: DOID:13641	xref: OMIM:177650
id: DOID:13714	xref: OMIM:206780
id: DOID:13724	xref: OMIM:240400
id: DOID:13774	xref: OMIM:103230
id: DOID:13777	xref: OMIM:226400
id: DOID:13809	xref: OMIM:144250
id: DOID:13810	xref: OMIM:143890
id: DOID:13832	xref: OMIM:607411
id: DOID:1386	xref: OMIM:200100
id: DOID:1388	xref: OMIM:205400
id: DOID:13884	xref: OMIM:163800
id: DOID:13909	xref: OMIM:303800
id: DOID:1391	xref: OMIM:245900
id: DOID:13911	xref: OMIM:216900
id: DOID:1392	xref: OMIM:177800
id: DOID:13922	xref: OMIM:610247
id: DOID:13941	xref: OMIM:193007
id: DOID:13994	xref: OMIM:119600
id: DOID:14004	xref: OMIM:132900
id: DOID:14080	xref: OMIM:103900
id: DOID:14116	xref: OMIM:151800
id: DOID:14118	xref: OMIM:238600
id: DOID:1415	xref: OMIM:258870
id: DOID:14175	xref: OMIM:193300
id: DOID:14179	xref: OMIM:300755
id: DOID:14213	xref: OMIM:146300
id: DOID:14218	xref: OMIM:274270
id: DOID:14219	xref: OMIM:179830
id: DOID:14221	xref: OMIM:605552
id: DOID:14227	xref: OMIM:102530
id: DOID:14250	xref: OMIM:190685
id: DOID:14261	xref: OMIM:300624
id: DOID:14261	xref: OMIM:300624
id: DOID:14264	xref: OMIM:121200
id: DOID:14283	xref: OMIM:259100
id: DOID:14289	xref: OMIM:224700
id: DOID:14291	xref: OMIM:151100
id: DOID:14323	xref: OMIM:154700
id: DOID:14330	xref: OMIM:168600
id: DOID:14365	xref: OMIM:212140
id: DOID:1440	xref: OMIM:109150
id: DOID:1441	xref: OMIM:117210
id: DOID:14415	xref: OMIM:150600
id: DOID:1442	xref: OMIM:203700
id: DOID:14448	xref: OMIM:154230
id: DOID:14450	xref: OMIM:233300
id: DOID:14451	xref: OMIM:170500
id: DOID:14452	xref: OMIM:170400
id: DOID:14498	xref: OMIM:247100
id: DOID:14499	xref: OMIM:301500
id: DOID:14500	xref: OMIM:230000
id: DOID:14501	xref: OMIM:270200
id: DOID:14503	xref: OMIM:162350
id: DOID:14504	xref: OMIM:257200
id: DOID:14504	xref: OMIM:257200
id: DOID:14515	xref: OMIM:194072
id: DOID:1455	xref: OMIM:137400
id: DOID:14557	xref: OMIM:178600
id: DOID:14669	xref: OMIM:101800
id: DOID:14670	xref: OMIM:239800
id: DOID:14671	xref: OMIM:243150
